track_id,track_name,artists,track_genre,vibe,popularity,danceability,energy,valence,tempo,acousticness,speechiness,liveness,instrumentalness,loudness,duration_min
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,dance,Energetic & Danceable,100,0.714,0.472,0.238,131.121,0.013,0.0864,0.266,4.51e-06,-7.375,2.616
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,hip-hop,Energetic & Danceable,99,0.621,0.782,0.55,128.033,0.0125,0.044,0.23,0.033,-5.548,3.316
5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,reggaeton,Acoustic & Mellow,98,0.835,0.679,0.85,124.98,0.583,0.0364,0.218,1.98e-06,-5.329,2.711
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta;Bebe Rexha,pop,Energetic & Danceable,98,0.561,0.965,0.304,128.04,0.00383,0.0343,0.371,7.07e-06,-3.673,2.921
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,latino,Energetic & Danceable,97,0.65,0.715,0.187,106.672,0.0993,0.253,0.126,0.000291,-5.198,4.062
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny;Chencho Corleone,latino,Energetic & Danceable,97,0.911,0.712,0.425,92.005,0.0901,0.0817,0.0933,2.68e-05,-5.105,2.976
5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,latino,Energetic & Danceable,96,0.801,0.475,0.234,98.047,0.141,0.0516,0.0639,1.73e-05,-8.797,3.551
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,pop,Energetic & Danceable,96,0.704,0.797,0.825,139.994,0.0826,0.0475,0.0546,0.000745,-5.927,2.475
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,dance,Energetic & Danceable,96,0.733,0.69,0.31,116.992,0.0635,0.0427,0.105,1.18e-06,-5.529,3.077
3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,Bad Bunny;Bomba Estéreo,latino,Energetic & Danceable,95,0.647,0.686,0.268,79.928,0.08,0.0413,0.528,1.34e-06,-5.745,4.305
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,pop,Energetic & Danceable,95,0.52,0.731,0.662,173.93,0.342,0.0557,0.311,0.00101,-5.338,2.788
6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny,reggae,Energetic & Danceable,94,0.804,0.674,0.292,99.968,0.294,0.0333,0.115,1.18e-06,-5.453,4.099
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,pop,Acoustic & Mellow,94,0.44,0.317,0.268,169.914,0.891,0.0531,0.141,4.78e-06,-9.258,3.891
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,pop,Acoustic & Mellow,93,0.445,0.537,0.131,122.769,0.695,0.04,0.0944,1.65e-05,-8.532,4.073
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,dance,Energetic & Danceable,93,0.78,0.689,0.642,115.042,0.0368,0.141,0.0698,9.69e-06,-5.668,3.756
